,std,mean,median,max,min
ADAT1 (23536),1718.4187476117659,5890.1872,6201.0,8940.0,214.0
ADAT2 (134637),801.9414724631781,8942.888,9092.0,10196.0,2204.0
ADAT3 (113179),1272.6330573888822,8060.3648,8383.0,9888.0,1196.0
ADCK2 (90956),2093.210250199072,3722.648,3527.0,8572.0,58.0
ADCK5 (203054),1551.3039902082046,2169.5296,1842.0,9053.0,14.0
ADCY3 (109),1261.6191469125736,7330.5184,7642.0,9584.0,1148.0
ADCY4 (196883),1888.3888110917228,4635.6784,4741.0,8786.0,123.0
ADCYAP1R1 (117),1726.1926199453658,3151.928,3071.0,8597.0,77.0
ADGRA2 (25960),1832.5714983190376,3904.9952,3851.0,8521.0,135.0
ADGRA3 (166647),1789.7399351875479,4161.5072,4217.0,8540.0,87.0
ADGRB1 (575),1736.1386754209202,2360.4896,1970.0,9167.0,63.0
ADGRD1 (283383),1812.368220338325,4045.8688,4009.0,8564.0,132.0
ADGRE2 (30817),1741.3167133287236,5403.0672,5599.0,9151.0,315.0
ADGRF3 (165082),1808.0740364946766,3392.4896,3223.0,8581.0,231.0
ADGRF5 (221395),1720.249475360165,5788.2752,6061.0,9352.0,255.0
ADGRG1 (9289),1912.7269773713401,3327.2272,3065.0,9010.0,24.0
ADGRG3 (222487),1836.3982251595733,4561.6736,4638.0,8654.0,336.0
ADI1 (55256),2158.2702823040777,3352.2512,3236.0,8766.0,9.0
ADIPOR1 (51094),2004.6467326509687,2812.4896,2349.0,8556.0,42.0
ADIPOR2 (79602),1416.3535047618875,1048.7712,554.0,9839.0,7.0
ADIRF (10974),1786.0740151416185,3057.616,2869.0,8847.0,126.0
ADK (132),1887.5255088199879,3701.9104,3526.0,8984.0,131.0
ADM2 (79924),1706.7714976723355,2564.6976,2183.0,8691.0,22.0
ADM5 (199800),1814.8313714488384,3910.816,3923.0,8545.0,125.0
ADNP (23394),1592.533826236571,7785.5792,8281.0,9898.0,154.0
ADORA2A (135),1843.6469259748217,3534.3872,3393.0,8680.0,4.0
ADORA2B (136),2014.6023344596463,3913.2256,3819.0,8939.0,16.0
ADPGK (83440),1947.4901714284097,2830.5232,2398.0,9659.0,60.0
ADPRH (141),1835.3664765842354,5344.1296,5597.0,8839.0,75.0
ADPRHL1 (113622),1753.594485017004,5562.2784,5743.0,8835.0,402.0
ADPRHL2 (54936),1467.706476066376,6598.3792,6884.0,9350.0,1204.0
